text,emotion,severity,intent,context,response
I am dealing with neutral and it is getting high,neutral,high,vent,social,Consider talking to someone you trust.
Everything feels overwhelming in my family,neutral,medium,general,family,"You are not alone, and it's okay to seek help."
I am dealing with neutral and it is getting low,neutral,low,vent,health,Seeking professional support could be beneficial.
Lately my social has been causing me sadness,sadness,medium,help,social,It might help to take a break and relax.
Everything feels overwhelming in my social,sadness,medium,general,social,Consider talking to someone you trust.
I don't know how to handle this anger anymore,anger,high,help,study,It sounds like you're going through something difficult.
feel I low levels of neutral recently,neutral,low,information,health,Seeking professional support could be beneficial.
I feel levels high of anger recently,anger,high,information,health,Seeking professional support could be beneficial.
I am dealing with anger and it is getting high,anger,high,crisis,study,"You are not alone, and it's okay to seek help."
I feel high levels of neutral recently,neutral,high,crisis,social,Seeking professional support could be beneficial.
study situation is making me feel anger,anger,high,information,study,"You are not alone, and it's okay to seek help."
I feel unhappyness without any reason,sadness,low,general,family,It might help to take a break and relax.
I am dealing with stress and it is getting medium,anxiety,medium,information,study,It sounds like you're going through something difficult.
Everything feels overwhelming my study,neutral,medium,general,study,It sounds like you're going through something difficult.
Lately my study has causing been me stress,stress,low,general,study,Consider talking to someone you trust.
I medium feel levels of stress recently,stress,medium,help,family,Consider talking to someone you trust.
I feel stress because of my study,stress,low,general,study,It might help to take a break and relax.
Lately my family has been causing neutral me,neutral,low,general,family,Try taking small steps to manage your situation.
I am dealing with neutral and it is getting high,neutral,low,help,health,Consider talking to someone you trust.
feel I unhappyness because of my health,sadness,high,general,health,"You are not alone, and it's okay to seek help."
My study situation is me making feel anxiety,anxiety,high,help,study,Consider talking to someone you trust.
Lately my work been has causing me downness,sadness,high,help,work,It sounds like you're going through something difficult.
I feel high levels of sadness recently,sadness,high,help,health,It sounds like you're going through something difficult.
Sometimes I feel anger without any reason,anger,medium,help,family,"You are not alone, and it's okay to seek help."
I feel stress because of my family,anxiety,medium,help,family,Seeking professional support could be beneficial.
Lately family has been me causing anger,anger,high,information,family,It might help to take a break and relax.
feel anxiety because of my study,anxiety,high,vent,study,It might help to take a break and relax.
My social situation is making me feel,anxiety,low,vent,social,"You are not alone, and it's okay to seek help."
Everything feels in my family,anxiety,medium,crisis,family,Seeking professional support could be beneficial.
I don't know how to handle this anger anymore,anger,high,information,social,Seeking professional support could be beneficial.
Everything feels overwhelming in my study,sadness,low,crisis,study,It might help to take a break and relax.
I feel stress because of my health,stress,low,general,health,It might help to take a break and relax.
I stress feel because of my study,stress,low,information,study,Seeking professional support could be beneficial.
Lately my family has been causing stress me,anxiety,low,help,family,Seeking professional support could be beneficial.
I medium levels of anger recently,anger,medium,crisis,study,Try taking small steps to manage your situation.
Sometimes I feel sadness any without reason,sadness,low,crisis,family,Consider talking to someone you trust.
Everything feels in my family,anxiety,high,crisis,family,It sounds like you're going through something difficult.
I don't know how handle this neutral anymore,neutral,medium,help,family,Consider talking to someone you trust.
I feel low levels of sadness recently,sadness,low,information,social,Consider talking to someone you trust.
I feel stress of because my study,stress,medium,general,study,Try taking small steps to manage your situation.
Everything overwhelming feels in my health,neutral,low,information,health,Consider talking to someone you trust.
Sometimes I feel stress without any reason,stress,low,information,family,"You are not alone, and it's okay to seek help."
My work situation is making me anxiety,anxiety,medium,information,work,Try taking small steps to manage your situation.
I don't know how to handle this anymore,anxiety,medium,crisis,family,It sounds like you're going through something difficult.
I am dealing with anger and it is getting low,anger,low,vent,health,It sounds like you're going through something difficult.
Lately my health has been causing me stress,stress,medium,help,health,It might help to take a break and relax.
I feel stress because of my study,stress,low,information,study,"You are not alone, and it's okay to seek help."
I don't how know to handle this unhappyness anymore,sadness,medium,general,family,"You are not alone, and it's okay to seek help."
I don't know how to handle this sadness anymore,sadness,low,general,work,It might help to take a break and relax.
I am dealing with nervous and it is getting low,anxiety,low,vent,family,Try taking small steps to manage your situation.
I am dealing with neutral and it is getting high,neutral,high,vent,health,It sounds like you're going through something difficult.
My study situation is making me feel stress,stress,low,general,study,It sounds like you're going through something difficult.
I am with sadness and is it getting low,sadness,low,help,family,It might help to take a break and relax.
Everything feels overwhelming in my work,stress,medium,general,work,It sounds like you're going through something difficult.
Everything feels overwhelming my in health,sadness,low,vent,health,It might help to take a break and relax.
My health situation is making me feel stress,stress,high,crisis,health,It might help to take a break and relax.
I don't know how to this stress anymore,stress,medium,general,family,It sounds like you're going through something difficult.
My social situation is making me feel anger,anger,low,vent,social,Try taking small steps to manage your situation.
I feel nervous because of my social,anxiety,low,general,social,Try taking small steps to manage your situation.
I don't how to this handle sadness anymore,sadness,low,help,social,"You are not alone, and it's okay to seek help."
I feel stress because of my health,stress,low,help,health,It might help to take a break and relax.
Lately study has been causing me stress,stress,high,help,study,Seeking professional support could be beneficial.
Sometimes feel stress without any reason,stress,low,help,health,"You are not alone, and it's okay to seek help."
I don't know how to handle this sadness anymore,sadness,medium,help,social,It might help to take a break and relax.
My social situation is making me feel neutral,neutral,medium,vent,social,It might help to take a break and relax.
I don't know how to handle this sadness anymore,sadness,low,help,health,It might help to take a break and relax.
I feel high levels of neutral recently,neutral,high,general,work,"You are not alone, and it's okay to seek help."
I feel anger because of my work,anger,medium,crisis,work,It sounds like you're going through something difficult.
Sometimes I feel anger without any,anger,high,help,work,It might help to take a break and relax.
Lately my family has been causing me neutral,neutral,low,general,family,It might help to take a break and relax.
My study situation is me making feel anger,anger,medium,vent,study,It sounds like you're going through something difficult.
I feel high levels of stress recently,stress,high,vent,work,Try taking small steps to manage your situation.
I don't how know to handle this sadness anymore,sadness,low,vent,health,Consider talking to someone you trust.
I am dealing with and sadness it is getting high,sadness,high,vent,social,"You are not alone, and it's okay to seek help."
Lately my has family been causing me anxiety,anxiety,medium,information,family,"You are not alone, and it's okay to seek help."
I feel high levels of anxiety recently,anxiety,high,information,social,Seeking professional support could be beneficial.
Lately my study been has causing me anxiety,anxiety,medium,crisis,study,"You are not alone, and it's okay to seek help."
Everything feels in overwhelming my social,anxiety,low,help,social,It might help to take a break and relax.
Lately my study has been causing me anxiety,anxiety,low,general,study,Consider talking to someone you trust.
I feel medium levels of stress recently,stress,medium,general,work,Seeking professional support could be beneficial.
I am dealing with unhappyness and it is getting low,sadness,high,help,health,It sounds like you're going through something difficult.
Sometimes I feel anger without any reason,anger,medium,help,health,It sounds like you're going through something difficult.
I medium feel levels of recently,anxiety,medium,help,family,"You are not alone, and it's okay to seek help."
I am dealing with stress and it is getting low,anxiety,low,general,study,"You are not alone, and it's okay to seek help."
don't know how to handle this unhappyness anymore,sadness,medium,vent,study,"You are not alone, and it's okay to seek help."
I high feel levels of anxiety recently,anxiety,high,vent,health,It sounds like you're going through something difficult.
Sometimes I feel anger without any reason,anger,medium,information,health,Seeking professional support could be beneficial.
Everything feels overwhelming in my work,anxiety,low,vent,work,It might help to take a break and relax.
Everything feels overwhelming in my health,sadness,low,vent,health,It sounds like you're going through something difficult.
Sometimes feel I neutral without any reason,neutral,low,general,family,It sounds like you're going through something difficult.
Lately my social has been causing me stress,stress,low,vent,social,Consider talking to someone you trust.
I dealing am with neutral and it is getting,neutral,medium,general,health,It might help to take a break and relax.
I feel medium levels of stress recently,stress,medium,general,work,Consider talking to someone you trust.
I don't know how to handle this anger anymore,anger,low,vent,social,It might help to take a break and relax.
I feel low levels of anger recently,anger,high,vent,study,Seeking professional support could be beneficial.
I feel neutral because of my social,neutral,medium,vent,social,It might help to take a break and relax.
social My is making me feel anxiety,anxiety,medium,general,social,Consider talking to someone you trust.
Sometimes I feel stress without any reason,stress,high,help,study,Seeking professional support could be beneficial.
I don't know how handle to this neutral anymore,neutral,low,general,work,It might help to take a break and relax.
Lately my work has been causing me anger,anger,high,crisis,work,It sounds like you're going through something difficult.
I feel high levels of neutral recently,neutral,high,help,health,Consider talking to someone you trust.
Everything feels overwhelming in my family,sadness,low,crisis,family,Try taking small steps to manage your situation.
Lately my social has causing me neutral,neutral,high,vent,social,It might help to take a break and relax.
I feel anxiety because of my work,anxiety,low,information,work,It sounds like you're going through something difficult.
My family situation making is me feel anxiety,anxiety,low,help,family,It sounds like you're going through something difficult.
I feel low levels of stress recently,stress,low,vent,work,It might help to take a break and relax.
I am dealing with anger and it is getting high,anger,high,general,social,It might help to take a break and relax.
My situation is making me feel anxiety,anxiety,high,vent,work,Consider talking to someone you trust.
I feel medium levels of anxiety recently,anxiety,medium,general,family,Try taking small steps to manage your situation.
Sometimes I feel neutral without any,neutral,medium,information,study,"You are not alone, and it's okay to seek help."
Sometimes I feel anxiety without any reason,anxiety,medium,general,study,Seeking professional support could be beneficial.
I feel low levels of anxiety recently,anxiety,low,help,health,Seeking professional support could be beneficial.
I medium feel levels of stress recently,stress,medium,information,social,"You are not alone, and it's okay to seek help."
I am dealing with stress and it is getting medium,stress,high,information,social,Seeking professional support could be beneficial.
Lately my work has been causing neutral,neutral,low,crisis,work,Consider talking to someone you trust.
Lately my study has been causing me sadness,sadness,low,help,study,"You are not alone, and it's okay to seek help."
I feel medium levels of nervous recently,anxiety,medium,information,health,It sounds like you're going through something difficult.
I don't know how to handle anger this anymore,anger,high,vent,health,Try taking small steps to manage your situation.
My social situation is making feel me stress,stress,high,help,social,Try taking small steps to manage your situation.
Lately my work has been causing me neutral,neutral,high,help,work,Seeking professional support could be beneficial.
I feel anxiety because of my health,anxiety,high,information,health,Try taking small steps to manage your situation.
I feel stress without any reason,stress,medium,crisis,health,"You are not alone, and it's okay to seek help."
I don't know how to handle this neutral anymore,neutral,medium,help,family,"You are not alone, and it's okay to seek help."
Lately my work has been causing me sadness,sadness,low,help,work,Consider talking to someone you trust.
Lately my study has been causing me stress,stress,low,crisis,study,Seeking professional support could be beneficial.
Everything feels overwhelming in my health,anxiety,low,crisis,health,Consider talking to someone you trust.
I am with dealing neutral and is getting low,neutral,low,information,work,It might help to take a break and relax.
Sometimes I feel without stress reason,anxiety,medium,general,health,Try taking small steps to manage your situation.
My social situation is making me feel stress,stress,medium,crisis,social,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my work,anxiety,high,help,work,Try taking small steps to manage your situation.
Lately my social has been causing me anger,anger,low,general,social,Try taking small steps to manage your situation.
I don't know how to handle this neutral anymore,neutral,low,information,work,It might help to take a break and relax.
Everything feels overwhelming in my family,anxiety,high,information,family,It sounds like you're going through something difficult.
I don't how to handle this stress anymore,stress,high,help,family,Try taking small steps to manage your situation.
My family situation is me making feel sadness,sadness,high,crisis,family,Consider talking to someone you trust.
I don't know how to handle this neutral anymore,neutral,low,vent,social,Try taking small steps to manage your situation.
I am dealing with neutral and it is getting low,neutral,low,vent,family,Try taking small steps to manage your situation.
Sometimes I feel neutral without any reason,neutral,low,crisis,family,Seeking professional support could be beneficial.
I don't know how to handle this anymore unhappyness,sadness,low,help,study,Seeking professional support could be beneficial.
I feel because of my family,neutral,medium,crisis,family,It sounds like you're going through something difficult.
I am dealing with anger and it is getting medium,anger,low,crisis,social,It might help to take a break and relax.
I am dealing with anger and it is getting high,anger,high,help,social,It might help to take a break and relax.
I feel sadness because of my work,sadness,medium,information,work,Try taking small steps to manage your situation.
Sometimes I feel neutral without any reason,neutral,medium,vent,family,"You are not alone, and it's okay to seek help."
My work situation is making me feel anxiety,anxiety,medium,crisis,work,It sounds like you're going through something difficult.
My health situation is making me feel neutral,neutral,high,information,health,Try taking small steps to manage your situation.
Everything feels overwhelming in my study,stress,medium,information,study,It sounds like you're going through something difficult.
I feel medium levels of unhappyness recently,sadness,medium,information,social,It might help to take a break and relax.
I feel medium levels of sadness recently,sadness,medium,help,study,It might help to take a break and relax.
I feel medium levels of neutral recently,neutral,medium,crisis,study,Try taking small steps to manage your situation.
Everything feels overwhelming in my,anger,medium,crisis,health,"You are not alone, and it's okay to seek help."
I feel medium levels of neutral recently,neutral,medium,general,study,Consider talking to someone you trust.
I am dealing with anger and it is getting high,anger,high,information,health,Try taking small steps to manage your situation.
I feel high levels of stress recently,stress,high,crisis,social,Consider talking to someone you trust.
Sometimes I feel neutral without any reason,neutral,low,help,family,Try taking small steps to manage your situation.
Lately my health has causing been me neutral,neutral,low,crisis,health,"You are not alone, and it's okay to seek help."
I am with anxiety and it is low getting,anxiety,low,help,work,"You are not alone, and it's okay to seek help."
Everything overwhelming feels in my health,neutral,low,vent,health,"You are not alone, and it's okay to seek help."
I feel high levels of anger recently,anger,high,help,health,It sounds like you're going through something difficult.
My health situation is making me feel sadness,sadness,low,general,health,It sounds like you're going through something difficult.
Lately my has been causing me sadness,sadness,low,crisis,study,Consider talking to someone you trust.
Everything feels overwhelming in my work,anxiety,medium,help,work,"You are not alone, and it's okay to seek help."
My study situation is making me feel nervous,anxiety,medium,help,study,Consider talking to someone you trust.
I am dealing with stress and it is getting low,stress,low,help,social,Consider talking to someone you trust.
Lately my work has been causing me downness,sadness,high,vent,work,It sounds like you're going through something difficult.
I feel stress because of my study,stress,low,crisis,study,It might help to take a break and relax.
I know don't how to handle this stress anymore,stress,high,vent,social,It sounds like you're going through something difficult.
I feel nervous of because my social,anxiety,low,vent,social,"You are not alone, and it's okay to seek help."
My health situation is making me feel stress,stress,low,crisis,health,Try taking small steps to manage your situation.
My work situation is making me feel anger,anger,medium,help,work,Seeking professional support could be beneficial.
I don't know how to handle this anger anymore,anger,low,general,social,Consider talking to someone you trust.
I am with dealing stress and it is getting low,anxiety,high,information,family,It sounds like you're going through something difficult.
Lately my family has been me causing sadness,sadness,high,general,family,It sounds like you're going through something difficult.
Everything feels overwhelming in my social,anxiety,medium,information,social,Consider talking to someone you trust.
feel I sadness because of my family,sadness,medium,general,family,Consider talking to someone you trust.
My family situation is making me feel anxiety,anxiety,high,information,family,Consider talking to someone you trust.
My study situation is making me feel,sadness,low,general,study,Seeking professional support could be beneficial.
My health situation is making me stress feel,stress,medium,vent,health,Try taking small steps to manage your situation.
I feel sadness because of my work,sadness,high,help,work,Consider talking to someone you trust.
I don't know how to handle this anger anymore,anger,low,information,study,Seeking professional support could be beneficial.
I feel unhappyness because of my health,sadness,low,information,health,Try taking small steps to manage your situation.
I feel anxiety because of my social,anxiety,high,information,social,"You are not alone, and it's okay to seek help."
Lately my social has been causing me anger,anger,low,information,social,"You are not alone, and it's okay to seek help."
I don't how know to handle this anger anymore,anger,low,vent,work,It sounds like you're going through something difficult.
Sometimes I feel anger without any reason,anger,high,general,study,"You are not alone, and it's okay to seek help."
I am dealing with anger and it getting high,anger,high,crisis,health,It might help to take a break and relax.
feels overwhelming in work my,sadness,low,vent,work,Consider talking to someone you trust.
Lately my study has been causing unhappyness me,sadness,high,general,study,It sounds like you're going through something difficult.
I don't know how to handle this anger anymore,anger,low,help,work,It might help to take a break and relax.
Everything feels overwhelming in my work,sadness,low,vent,work,It sounds like you're going through something difficult.
I feel neutral because of my work,neutral,low,vent,work,Seeking professional support could be beneficial.
I feel nervous because of my study,anxiety,medium,general,study,It sounds like you're going through something difficult.
My family situation is making feel anxiety,anxiety,low,vent,family,It sounds like you're going through something difficult.
My family situation making is me feel anxiety,anxiety,high,vent,family,It sounds like you're going through something difficult.
My work is situation making me feel stress,anxiety,medium,information,work,"You are not alone, and it's okay to seek help."
I am dealing anxiety and it is getting low,anxiety,low,crisis,study,It might help to take a break and relax.
Lately my study has been causing me anger,anger,low,general,study,Consider talking to someone you trust.
Sometimes I feel anxiety without any reason,anxiety,low,vent,work,"You are not alone, and it's okay to seek help."
don't I know how to handle this nervous anymore,anxiety,low,crisis,study,It sounds like you're going through something difficult.
Lately my social has been causing me downness,sadness,high,general,social,Seeking professional support could be beneficial.
My health situation is me making feel anger,anger,low,vent,health,Consider talking to someone you trust.
I feel neutral because of my health,neutral,low,information,health,It sounds like you're going through something difficult.
Everything feels overwhelming in social my,anger,medium,general,social,Seeking professional support could be beneficial.
I am dealing with and anxiety it is getting low,anxiety,low,help,social,It might help to take a break and relax.
I feel high levels of anger recently,anger,high,information,work,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my social,neutral,medium,information,social,It sounds like you're going through something difficult.
I don't know how to handle this anger anymore,anger,high,help,work,It sounds like you're going through something difficult.
Everything feels in overwhelming my work,anger,medium,vent,work,Consider talking to someone you trust.
I feel anger because of my study,anger,low,vent,study,"You are not alone, and it's okay to seek help."
I am dealing stress with and it is getting medium,stress,medium,general,social,It sounds like you're going through something difficult.
Lately my work has been me causing downness,sadness,high,crisis,work,Seeking professional support could be beneficial.
Sometimes I feel neutral without any reason,neutral,low,information,work,It sounds like you're going through something difficult.
Lately my family has been causing me anger,anger,high,vent,family,It might help to take a break and relax.
I feel anger because of my health,anger,high,general,health,Consider talking to someone you trust.
feel I anger without any reason,anger,low,vent,study,Seeking professional support could be beneficial.
I don't know how to handle this sadness anymore,sadness,high,help,social,It might help to take a break and relax.
I feel low levels of recently anxiety,anxiety,low,information,work,Consider talking to someone you trust.
I feel medium levels of neutral recently,neutral,medium,information,social,Consider talking to someone you trust.
Everything overwhelming in my social,anger,medium,general,social,Try taking small steps to manage your situation.
work My situation is making me feel anger,anger,high,information,work,It might help to take a break and relax.
I know how to handle this anxiety anymore,anxiety,low,general,health,"You are not alone, and it's okay to seek help."
I medium feel levels of stress recently,stress,high,general,social,"You are not alone, and it's okay to seek help."
Everything overwhelming feels in my social,stress,low,vent,social,It might help to take a break and relax.
Lately my family has been causing me sadness,sadness,medium,help,family,Consider talking to someone you trust.
Everything feels overwhelming in my study,sadness,medium,information,study,It might help to take a break and relax.
Sometimes I feel stress without any reason,stress,low,vent,study,Seeking professional support could be beneficial.
Everything feels overwhelming in my social,stress,high,vent,social,It might help to take a break and relax.
I feel anger because of my family,anger,low,help,family,"You are not alone, and it's okay to seek help."
I am dealing with neutral and it is getting high,neutral,high,information,work,It might help to take a break and relax.
Everything feels overwhelming in my social,neutral,low,help,social,Try taking small steps to manage your situation.
feels Everything overwhelming in my work,neutral,high,information,work,Seeking professional support could be beneficial.
Everything feels overwhelming my in social,anger,low,vent,social,"You are not alone, and it's okay to seek help."
I feel stress because of my study,stress,medium,general,study,Consider talking to someone you trust.
I don't know how to handle this stress anymore,anxiety,medium,information,family,"You are not alone, and it's okay to seek help."
My social situation is me making feel sadness,sadness,low,information,social,"You are not alone, and it's okay to seek help."
Sometimes I feel anxiety any without reason,anxiety,low,vent,social,It might help to take a break and relax.
I feel high levels of anger recently,anger,high,crisis,social,"You are not alone, and it's okay to seek help."
Sometimes I feel without anger any reason,anger,low,crisis,study,Seeking professional support could be beneficial.
I don't know how to handle this anxiety anymore,anxiety,medium,crisis,health,Seeking professional support could be beneficial.
my family been has causing me neutral,neutral,high,information,family,It sounds like you're going through something difficult.
health My situation is making me feel neutral,neutral,low,general,health,"You are not alone, and it's okay to seek help."
Lately my social has been causing me anger,anger,medium,crisis,social,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my family,anger,medium,help,family,It might help to take a break and relax.
I feel neutral of my health,neutral,high,help,health,It might help to take a break and relax.
Everything feels in overwhelming my,anxiety,low,general,social,It might help to take a break and relax.
I don't know how handle to this anxiety anymore,anxiety,medium,information,work,"You are not alone, and it's okay to seek help."
Lately my social has been causing me anger,anger,high,vent,social,"You are not alone, and it's okay to seek help."
I feel sadness because of my study,sadness,low,help,study,It might help to take a break and relax.
I am dealing with anxiety and it is getting medium,anxiety,medium,information,work,It sounds like you're going through something difficult.
I am dealing with neutral and it is getting high,neutral,high,general,health,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my social,sadness,medium,general,social,Try taking small steps to manage your situation.
feel low levels of anger recently,anger,low,crisis,study,Try taking small steps to manage your situation.
I neutral of because my family,neutral,high,help,family,It sounds like you're going through something difficult.
My health situation is making me feel stress,stress,high,general,health,Try taking small steps to manage your situation.
Sometimes I sadness without any reason,sadness,low,crisis,family,"You are not alone, and it's okay to seek help."
Sometimes I feel anger without any reason,anger,high,general,study,Try taking small steps to manage your situation.
I feel medium levels neutral of recently,neutral,medium,general,social,It sounds like you're going through something difficult.
I don't know how handle to this stress anymore,stress,high,vent,social,Consider talking to someone you trust.
Lately my health has been causing me anger,anger,high,crisis,health,"You are not alone, and it's okay to seek help."
I feel sadness because of my health,sadness,medium,information,health,It might help to take a break and relax.
Lately my work has been me neutral,neutral,high,crisis,work,Seeking professional support could be beneficial.
I feel anxiety because of my work,anxiety,medium,information,work,Try taking small steps to manage your situation.
I don't know how to handle this anxiety anymore,anxiety,low,crisis,study,Try taking small steps to manage your situation.
I feel sadness because of my work,sadness,high,vent,work,Consider talking to someone you trust.
I don't know how to handle this sadness anymore,sadness,medium,general,health,It might help to take a break and relax.
I don't know how to handle this unhappyness anymore,sadness,low,information,study,Try taking small steps to manage your situation.
Everything feels overwhelming in my work,stress,high,vent,work,It sounds like you're going through something difficult.
I feel high of levels neutral recently,neutral,high,information,work,Try taking small steps to manage your situation.
I don't know how to handle this anymore neutral,neutral,high,crisis,study,It sounds like you're going through something difficult.
feels Everything overwhelming in my work,stress,low,help,work,"You are not alone, and it's okay to seek help."
I feel stress because of my study,stress,medium,information,study,Try taking small steps to manage your situation.
Sometimes I feel neutral without any reason,neutral,medium,vent,family,Try taking small steps to manage your situation.
Sometimes I feel stress any reason,stress,high,information,family,It might help to take a break and relax.
I don't know how to handle this sadness anymore,sadness,low,crisis,family,Consider talking to someone you trust.
I feel medium of levels anxiety recently,anxiety,medium,crisis,work,It sounds like you're going through something difficult.
I am dealing with anger and it is getting medium,anger,medium,crisis,study,It might help to take a break and relax.
Lately my work has been me neutral,neutral,low,help,work,Consider talking to someone you trust.
Sometimes I anger feel without any reason,anger,high,general,social,"You are not alone, and it's okay to seek help."
I don't know how to handle this stress anymore,stress,high,general,family,Try taking small steps to manage your situation.
Everything feels overwhelming my in social,anger,high,crisis,social,Try taking small steps to manage your situation.
I feel high of levels stress recently,stress,high,help,social,It might help to take a break and relax.
Lately my family has been causing me neutral,neutral,low,information,family,It sounds like you're going through something difficult.
Everything feels overwhelming in my health,neutral,low,vent,health,Try taking small steps to manage your situation.
I medium feel levels of stress recently,stress,medium,general,health,Seeking professional support could be beneficial.
I don't how know to handle this neutral anymore,neutral,low,vent,family,Consider talking to someone you trust.
Everything feels overwhelming in my family,neutral,high,vent,family,It sounds like you're going through something difficult.
I am dealing with stress and it is getting,stress,low,information,social,Consider talking to someone you trust.
My work situation is making me feel neutral,neutral,high,general,work,Try taking small steps to manage your situation.
I don't know to how handle this anger anymore,anger,medium,vent,social,Try taking small steps to manage your situation.
I feel medium levels of stress recently,stress,medium,crisis,work,It might help to take a break and relax.
Sometimes I feel neutral without any reason,neutral,low,vent,family,It sounds like you're going through something difficult.
I am dealing with anxiety and it is getting high,anxiety,high,vent,study,Try taking small steps to manage your situation.
Everything feels overwhelming my in family,sadness,low,help,family,Try taking small steps to manage your situation.
I don't know how to handle this neutral anymore,neutral,low,information,family,Try taking small steps to manage your situation.
Lately my work has been causing me stress,stress,high,general,work,"You are not alone, and it's okay to seek help."
My family situation is making me feel anxiety,anxiety,medium,general,family,Seeking professional support could be beneficial.
I high levels of anger recently,anger,high,information,work,Seeking professional support could be beneficial.
I know don't how to handle this neutral anymore,neutral,low,help,work,"You are not alone, and it's okay to seek help."
I feel high levels of neutral recently,neutral,low,help,health,Consider talking to someone you trust.
I feel low levels of anger recently,anger,low,help,study,It sounds like you're going through something difficult.
My work is situation making me feel stress,stress,high,help,work,It might help to take a break and relax.
I don't know how to handle this neutral anymore,neutral,medium,information,work,Try taking small steps to manage your situation.
Sometimes I feel neutral without any reason,neutral,medium,information,study,It sounds like you're going through something difficult.
My work situation is me making feel stress,stress,medium,crisis,work,It might help to take a break and relax.
Lately my social has been causing me anger,anger,medium,help,social,It sounds like you're going through something difficult.
I don't know how to handle this stress anymore,stress,high,crisis,health,Seeking professional support could be beneficial.
Lately my study been has causing me sadness,sadness,high,general,study,Seeking professional support could be beneficial.
I am dealing with stress and is getting low,stress,low,crisis,social,It might help to take a break and relax.
Sometimes I feel stress without any reason,stress,high,help,health,It sounds like you're going through something difficult.
My study situation is making me feel anger,anger,medium,information,study,It sounds like you're going through something difficult.
I don't know how to handle this sadness anymore,sadness,low,crisis,work,Consider talking to someone you trust.
I feel because anger of my work,anger,low,crisis,work,Consider talking to someone you trust.
Everything feels overwhelming in my work,neutral,high,information,work,Try taking small steps to manage your situation.
My family situation is making me feel neutral,neutral,medium,general,family,Seeking professional support could be beneficial.
Lately my work has been causing me anxiety,anxiety,medium,general,work,"You are not alone, and it's okay to seek help."
my Lately health has been causing me neutral,neutral,medium,general,health,It sounds like you're going through something difficult.
I feel stress because of my health,stress,medium,information,health,It might help to take a break and relax.
I don't know how to handle this downness anymore,sadness,low,general,family,"You are not alone, and it's okay to seek help."
I feel sadness because of my study,sadness,low,vent,study,It might help to take a break and relax.
I Sometimes feel downness without any,sadness,medium,vent,social,Consider talking to someone you trust.
Sometimes I feel anxiety without reason,anxiety,medium,help,family,"You are not alone, and it's okay to seek help."
feels overwhelming my in family,anxiety,low,information,family,"You are not alone, and it's okay to seek help."
I am dealing with anxiety and it is getting medium,anxiety,medium,crisis,family,Try taking small steps to manage your situation.
Everything feels overwhelming my health,anxiety,high,help,health,Try taking small steps to manage your situation.
Sometimes I stress feel without any reason,stress,medium,vent,health,"You are not alone, and it's okay to seek help."
I feel low levels of neutral recently,neutral,low,general,health,Consider talking to someone you trust.
I don't know how to handle this anger anymore,anger,medium,vent,study,It might help to take a break and relax.
Everything overwhelming feels in my work,neutral,low,information,work,"You are not alone, and it's okay to seek help."
I don't know how to this handle neutral anymore,neutral,medium,general,work,Consider talking to someone you trust.
am I dealing with stress and it is getting medium,stress,medium,help,work,Consider talking to someone you trust.
My family situation is making me feel stress,stress,medium,vent,family,Consider talking to someone you trust.
Lately my health has been causing me anxiety,anxiety,medium,vent,health,Try taking small steps to manage your situation.
I feel medium levels of recently,sadness,medium,help,work,Seeking professional support could be beneficial.
I am dealing with neutral and it is getting high,neutral,high,crisis,study,Consider talking to someone you trust.
I feel high levels of sadness recently,sadness,high,vent,health,Seeking professional support could be beneficial.
Lately my family has been causing me stress,stress,low,information,family,It might help to take a break and relax.
I don't know how to handle stress this anymore,stress,high,help,family,Consider talking to someone you trust.
I feel low levels of neutral recently,neutral,low,information,social,It might help to take a break and relax.
I don't know how to handle this sadness anymore,sadness,medium,vent,health,"You are not alone, and it's okay to seek help."
I anger because of my health,anger,high,help,health,It sounds like you're going through something difficult.
I don't know how to handle this neutral anymore,neutral,medium,crisis,work,Seeking professional support could be beneficial.
I am dealing with anxiety and it is getting low,anxiety,low,general,study,Try taking small steps to manage your situation.
I low levels of sadness recently,sadness,high,general,work,Consider talking to someone you trust.
I am dealing with anger and it is getting medium,anger,medium,crisis,social,Seeking professional support could be beneficial.
My social situation is making me feel anger,anger,low,information,social,Try taking small steps to manage your situation.
Everything feels overwhelming in my study,sadness,medium,help,study,It might help to take a break and relax.
Lately my study has been causing me stress,stress,low,general,study,It sounds like you're going through something difficult.
I don't know how to handle this anger anymore,anger,low,help,work,It sounds like you're going through something difficult.
I feel low levels of sadness recently,sadness,low,vent,health,"You are not alone, and it's okay to seek help."
Lately my health has been causing me anger,anger,low,information,health,"You are not alone, and it's okay to seek help."
Lately study has been causing me anger,anger,high,crisis,study,It might help to take a break and relax.
I feel anxiety because of study,anxiety,low,vent,study,It might help to take a break and relax.
Lately my family has been causing me anxiety,anxiety,high,information,family,Try taking small steps to manage your situation.
I am dealing with anger and it is getting medium,anger,medium,general,family,It sounds like you're going through something difficult.
I don't know how to handle this neutral anymore,neutral,high,general,social,Consider talking to someone you trust.
I feel because of my social,anger,low,vent,social,"You are not alone, and it's okay to seek help."
I don't know how to this stress anymore,stress,low,information,social,It might help to take a break and relax.
I feel neutral because of my work,neutral,low,general,work,It sounds like you're going through something difficult.
Everything overwhelming feels in my family,anxiety,high,general,family,It sounds like you're going through something difficult.
